Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
Гравійний велосипед 8Bar gravel grx,66 600 грн.,Б/в,2022-07-18,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-8bar-gravel-grx-IDPaltz.html
Повний комплект!! Електро CUBE NUROAD HYBRID C:62 карбон GRX Гравел,68 500 грн.,Б/в,2021-10-13,Чернівці,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/uk/obyavlenie/povniy-komplekt-elektro-cube-nuroad-hybrid-c62-karbon-grx-gravel-IDN0Yme.html
електро гравел ebike Orbea Gain 2020 Gravel Hybrid Shimano GRX,73 500 грн.,Б/в,2022-08-06,Ужгород,,"48.61981, 22.29811",Юра,VELOMAN,https://www.olx.ua/d/uk/obyavlenie/elektro-gravel-ebike-orbea-gain-2020-gravel-hybrid-shimano-grx-IDPkswK.html
Canyon Inflite CF SLX,75 000 грн.,Б/в,2022-06-06,Ірпінь,,"50.51752, 30.2593",Иван,,https://www.olx.ua/d/uk/obyavlenie/canyon-inflite-cf-slx-IDOOyOr.html
Топовый циклокросс Guerciotti Eureka CX Carbon Ultegra r8000 Гравел,75 500 грн.,Б/в,2022-05-25,Одеса,Київський,"46.38471, 30.70913",Богдан,Velosecondlife продажа бр...,https://www.olx.ua/d/uk/obyavlenie/topovyy-tsiklokross-guerciotti-eureka-cx-carbon-ultegra-r8000-gravel-IDOHS77.html
АКЦІЯ Гравійний велосипед Orbea TERRA H30 2021 ВІЙСЬКОВИМ ЗНИЖКА!,77 000 грн.,Нові,2022-06-15,Київ,Голосіївський,"50.35684, 30.51985",Александр,ROWER LIFE,https://www.olx.ua/d/uk/obyavlenie/aktsya-gravyniy-velosiped-orbea-terra-h30-2021-vyskovim-znizhka-IDOSWPm.html
Карбоновий Giant Revolt Advansed 3 Gravel (гравійний),79 000 грн.,Б/в,2022-07-24,Чернівці,,"48.3, 25.93",Игорь,,https://www.olx.ua/d/uk/obyavlenie/karbonoviy-giant-revolt-advansed-3-gravel-gravyniy-IDPdmvU.html
29x3.0 Salsa Fargo Custom гравийный монстеркросс гравел гравийник,99 999 грн.,Б/в,2022-04-09,Хмельницький,,"49.40611, 27.0045",Продавец,,https://www.olx.ua/d/uk/obyavlenie/29x3-0-salsa-fargo-custom-graviynyy-monsterkross-gravel-graviynik-IDOnYZP.html
"Шосер, шоссейний, Гравел, Циклокрос Cute Attain race 60",33 300 грн.,Б/в,2022-07-18,Чернівці,,"48.3, 25.93",Василь,,https://www.olx.ua/d/uk/obyavlenie/shoser-shosseyniy-gravel-tsiklokros-cute-attain-race-60-IDPa0Lj.html
"Велосипед гравійний Gravel Merida Silex 400 2019, Shimano 105",43 500 грн.,Б/в,2022-07-19,Івано-Франківськ,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravyniy-gravel-merida-silex-400-2019-shimano-105-IDPaSbe.html
"Велосипед Merida Silex 6000 (2021) metallic teal / Gravel, гревел",79 000 грн.,Нові,2022-05-19,Київ,Шевченківський,"50.47135, 30.4624",Богдан,ТОВ «Аш Бі Медікал»,https://www.olx.ua/d/uk/obyavlenie/velosiped-merida-silex-6000-2021-metallic-teal-gravel-grevel-IDOEFte.html
Велосипед Dimanche 29.3 Gravel электрический specialized orbea bosch,81 233 грн.,Б/в,2021-11-04,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-dimanche-29-3-gravel-elektricheskiy-specialized-orbea-bosch-IDNdFm1.html
Canyon grail cf sl 8.0 gravel carbon,83 900 грн.,Б/в,2022-08-05,Івано-Франківськ,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/uk/obyavlenie/canyon-grail-cf-sl-8-0-gravel-carbon-IDPjTGH.html
"Cannondale Topstone Carbon 5, L, 2021. Gravel/гравійник/гревел.",84 850 грн.,Б/в,2022-06-22,Дніпро,Центральний,"48.463, 35.02387",Артем,,https://www.olx.ua/d/uk/obyavlenie/cannondale-topstone-carbon-5-l-2021-gravel-gravynik-grevel-IDOVVhV.html
Rose Back Road Gravel Велосипед Sram Force DT Swiss Spline GRC 1400,89 000 грн.,Б/в,2022-06-30,Чернівці,,"48.3, 25.93",Константин,,https://www.olx.ua/d/uk/obyavlenie/rose-back-road-gravel-velosiped-sram-force-dt-swiss-spline-grc-1400-IDP0Roy.html
Велосипед BMC URC 2022 gravel cyclocross,90 000 грн.,Б/в,2022-06-19,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-bmc-urc-2022-gravel-cyclocross-IDOUX8p.html
Гравійний електро велосипед Gravel Stevens E-GETAWAY Carbon (2021) ЯК,90 000 грн.,Б/в,2022-05-16,Чернівці,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/uk/obyavlenie/gravyniy-elektro-velosiped-gravel-stevens-e-getaway-carbon-2021-yak-IDOCS3I.html
Продам карбоновый циклокросс cannondale superx,92 310 грн.,Б/в,2021-10-22,Харків,Новобоварський,"49.94667, 36.15974",Дмитрий,,https://www.olx.ua/d/uk/obyavlenie/prodam-karbonovyy-tsiklokross-cannondale-superx-IDN6i2W.html
"Туристический велосипед Pride Rocx Tour LT туринг, гравел, НОВЫЙ",96 700 грн.,Нові,2022-06-27,Київ,Деснянський,"50.5186, 30.62532",sir,,https://www.olx.ua/d/uk/obyavlenie/turisticheskiy-velosiped-pride-rocx-tour-lt-turing-gravel-novyy-IDOZjvc.html
Гравел BMC URS FOUR 2020,110 000 грн.,Б/в,2021-05-29,Київ,Дніпровський,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/uk/obyavlenie/gravel-bmc-urs-four-2020-IDLLgI1.html
"Gravel, Гравел, Циклокрос Norco Search 105 50",30 000 грн.,Б/в,2022-07-12,Чернівці,,"48.3, 25.93",Василь,,https://www.olx.ua/d/uk/obyavlenie/gravel-gravel-tsiklokros-norco-search-105-50-IDP73Zx.html
Haibike Race 1.0 Gravel велосипед алюмінієвий карбонова вилка 28,14 999 грн.,Б/в,2022-07-21,Стрий,,"49.25663, 23.83511",Олег,Bike-Magazine Lviv,https://www.olx.ua/d/uk/obyavlenie/haibike-race-1-0-gravel-velosiped-alyumnviy-karbonova-vilka-28-IDPbLY1.html
"Топовый велосипед Canyon R096 RoadLite SL гравел, шоссейный urban",29 990 грн.,Б/в,2021-12-30,Ірпінь,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/uk/obyavlenie/topovyy-velosiped-canyon-r096-roadlite-sl-gravel-shosseynyy-urban-IDNLz31.html
Електро гревел Simplon Inissio Pmax 2022,127 000 грн.,Б/в,2022-06-24,Київ,Дарницький,"50.40931, 30.69263",Веломан,ВЕЛОМАН,https://www.olx.ua/d/uk/obyavlenie/elektro-grevel-simplon-inissio-pmax-2022-IDOXF0F.html
Cervelo aspero 5 new gravel carbon,145 000 грн.,Нові,2022-08-05,Івано-Франківськ,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/uk/obyavlenie/cervelo-aspero-5-new-gravel-carbon-IDPjTK8.html
